Time,Date,Day of the week,CarCount,BikeCount,BusCount,TruckCount,Traffic Situation
12:00:00 AM,10,Tuesday,31,0,4,4,low
12:15:00 AM,10,Tuesday,49,0,3,3,low
12:30:00 AM,10,Tuesday,46,0,3,6,low
12:45:00 AM,10,Tuesday,51,0,2,5,low
1:00:00 AM,10,Tuesday,57,6,15,16,normal
1:15:00 AM,10,Tuesday,44,0,5,4,low
1:30:00 AM,10,Tuesday,37,0,1,4,low
1:45:00 AM,10,Tuesday,42,4,4,5,low
2:00:00 AM,10,Tue,51,0,-9,7,low
2:15:00 AM,10,Tuesday,34,0,4,7,low
2:30:00 AM,10,Tuesday,45,0,1,1,low
2:45:00 AM,10,Tuesday,,0,1,3,low
3:00:00 AM,10,Tuesday,50,0,3,0,low
3:15:00 AM,10,Tuesday,34,0,4,4,low
3:30:00 AM,10,Tuesday,129,22,42,1,heavy
3:45:00 AM,10,Tuesday,144,16,49,0,heavy
4:00:00 AM,10,,111,28,20,3,normal
4:15:00 AM,10,Tuesday,67,11,10,16,normal
4:30:00 AM,10,Tuesday,65,24,7,16,normal
4:45:00 AM,10,Tuesday,94,27,7,16,normal
5:00:00 AM,10,Tuesday,94,20,8,7,normal
5:15:00 AM,10,Tuesday,67,29,5,10,low
5:30:00 AM,10,Tuesday,56,12,-2,14,normal
5:45:00 AM,10,Tuesday,57,13,3,11,low
6:00:00 AM,10,Tuesday,129,22,42,1,heavy
6:15:00 AM,10,Tuesday,144,16,49,0,heavy
6:30:00 AM,10,Tuesday,111,28,20,3,normal
6:45:00 AM,10,Tuesday,120,27,46,3,heavy
7:00:00 AM,10,Tuesday,102,39,-47,1,heavy
7:15:00 AM,10,Tuesday,145,23,27,0,heavy
7:30:00 AM,10,Tuesday,114,37,21,5,heavy
7:45:00 AM,10,Tuesday,108,18,22,1,normal
8:00:00 AM,10,Tuesday,122,28,33,1,heavy
8:15:00 AM,10,Tuesday,114,39,30,3,heavy
8:30:00 AM,10,Tuesday,150,36,25,1,heavy
8:45:00 AM,10,Tuesday,107,10,49,2,heavy
9:00:00 AM,10,Tuesday,124,24,22,0,heavy
9:15:00 AM,10,Tuesday,77,16,39,29,high
9:30:00 AM,10,Tuesday,15,23,30,21,normal
9:45:00 AM,10,Tuesday,32,22,38,21,high
10:00:00 AM,10,Tuesday,68,13,29,24,high
10:15:00 AM,10,Tuesday,27,16,36,30,normal
10:30:00 AM,10,Tuesday,76,7,11,15,normal
10:45:00 AM,10,Tuesday,41,23,20,17,normal
11:00:00 AM,10,Tuesday,33,10,3,29,normal
11:15:00 AM,10,Tuesday,58,8,14,29,normal
11:30:00 AM,10,Tuesday,65,7,11,26,normal
11:45:00 AM,10,Tuesday,47,9,6,29,normal
